Result Number,Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
116,LE07_L1GT_118041_20021229_20170127_01_T2,LE71180412002363HAJ01,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 041,2017/01/27,2002:363:02:14:19.4145625,2002:363:02:14:46.5121874,HAJ - Hatoyama  Japan,Day,100,100,-1,-1,,,,9,N,LPGS_12.8.3,FULL,33.44627851,151.11694206,NA,,ETM_L1GT,ETM,DEFINITIVE,14381,15881,7191,7941,7191,7941,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,27°25'38.03"N,120°47'58.70"E,28°22'34.07"N,120°02'45.89"E,28°05'51.32"N,121°57'48.28"E,26°44'35.59"N,119°38'54.60"E,26°28'06.92"N,121°32'16.80"E,27.42723,120.79964,28.37613,120.04608,28.09759,121.96341,26.74322,119.6485,26.46859,121.538,LE07_L1GT_118041_20021229_20170127_01_T2,LE71180412002363HAJ01,https://earthexplorer.usgs.gov/browse-link/12267/LE71180412002363HAJ01
117,LE07_L1GT_118042_20021229_20170127_01_T2,LE71180422002363HAJ01,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 042,2017/01/27,2002:363:02:14:43.2605000,2002:363:02:15:10.3579999,HAJ - Hatoyama  Japan,Day,99,100,-1,-1,,,,9,N,LPGS_12.8.3,FULL,34.58622801,150.39068324,NA,,ETM_L1GT,ETM,DEFINITIVE,14381,15921,7191,7961,7191,7961,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,25°59'16.22"N,120°26'25.12"E,26°56'20.18"N,119°41'43.55"E,26°39'49.79"N,121°35'17.27"E,25°18'18.25"N,119°18'15.62"E,25°02'01.36"N,121°10'16.46"E,25.98784,120.44031,26.93894,119.69543,26.66383,121.58813,25.30507,119.30434,25.03371,121.17124,LE07_L1GT_118042_20021229_20170127_01_T2,LE71180422002363HAJ01,https://earthexplorer.usgs.gov/browse-link/12267/LE71180422002363HAJ01
118,LE07_L1TP_118044_20021229_20170127_01_T1,LE71180442002363BKT00,2002/12/29,LANDSAT_7,ON,T1,1,SAM, 118, 044,2017/01/27,2002:363:02:15:31.0243750,2002:363:02:15:58.1219375,BKT - Bangkok  Thailand,Day,44,60,41,4,2.997,2.512,1.635,9,N,LPGS_12.8.3,FULL,36.83973317,148.85345363,NA,,ETM_L1TP,ETM,DEFINITIVE,13921,15481,6961,7741,6961,7741,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,23°06'29.09"N,119°44'23.68"E,24°03'29.70"N,119°00'41.15"E,23°47'22.49"N,120°51'36.36"E,22°25'23.30"N,118°37'55.45"E,22°09'27.79"N,120°27'31.25"E,23.10808,119.73991,24.05825,119.01143,23.78958,120.8601,22.42314,118.63207,22.15772,120.45868,LE07_L1TP_118044_20021229_20170127_01_T1,LE71180442002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180442002363BKT00
119,LE07_L1GT_118045_20021229_20170127_01_T2,LE71180452002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 045,2017/01/27,2002:363:02:15:54.9424999,2002:363:02:16:22.0400000,BKT - Bangkok  Thailand,Day,60,68,-1,-1,,,,9,N,LPGS_12.8.3,FULL,37.95128134,148.03733903,NA,,ETM_L1GT,ETM,DEFINITIVE,13941,15521,6971,7761,6971,7761,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,21°40'01.60"N,119°23'50.53"E,22°36'53.14"N,118°40'31.12"E,22°20'56.18"N,120°30'15.80"E,20°58'45.84"N,118°18'01.12"E,20°42'59.80"N,120°06'32.62"E,21.66711,119.39737,22.61476,118.67531,22.34894,120.50439,20.9794,118.30031,20.71661,120.10906,LE07_L1GT_118045_20021229_20170127_01_T2,LE71180452002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180452002363BKT00
120,LE07_L1GT_118046_20021229_20170127_01_T2,LE71180462002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 046,2017/01/27,2002:363:02:16:18.8605625,2002:363:02:16:45.9581875,BKT - Bangkok  Thailand,Day,0,92,-1,-1,,,,9,N,LPGS_12.8.3,FULL,39.05153268,147.18865253,NA,,ETM_L1GT,ETM,DEFINITIVE,13961,15521,6981,7761,6981,7761,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,20°13'31.30"N,119°03'36.65"E,21°10'15.82"N,118°20'40.27"E,20°54'28.80"N,120°09'20.09"E,19°32'04.70"N,117°58'26.18"E,19°16'26.87"N,119°45'58.68"E,20.22536,119.06018,21.17106,118.34452,20.908,120.15558,19.53464,117.97394,19.27413,119.7663,LE07_L1GT_118046_20021229_20170127_01_T2,LE71180462002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180462002363BKT00
121,LE07_L1GT_118047_20021229_20170127_01_T2,LE71180472002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 047,2017/01/27,2002:363:02:16:42.7064375,2002:363:02:17:09.8040624,BKT - Bangkok  Thailand,Day,0,100,-1,-1,,,,9,N,LPGS_12.8.3,FULL,40.13479632,146.3066594,NA,,ETM_L1GT,ETM,DEFINITIVE,13981,15521,6991,7761,6991,7761,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,18°46'58.37"N,118°43'36.73"E,19°43'50.81"N,118°01'02.82"E,19°28'11.78"N,119°48'42.98"E,18°05'40.24"N,117°39'04.50"E,17°50'10.64"N,119°25'43.39"E,18.78288,118.72687,19.73078,118.01745,19.46994,119.81194,18.09451,117.65125,17.83629,119.42872,LE07_L1GT_118047_20021229_20170127_01_T2,LE71180472002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180472002363BKT00
122,LE07_L1GT_118048_20021229_20170127_01_T2,LE71180482002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 048,2017/01/27,2002:363:02:17:06.6246250,2002:363:02:17:33.7221249,BKT - Bangkok  Thailand,Day,0,100,-1,-1,,,,9,N,LPGS_12.8.3,FULL,41.20726638,145.38348249,NA,,ETM_L1GT,ETM,DEFINITIVE,14001,15561,7001,7781,7001,7781,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,17°20'24.76"N,118°23'51.58"E,18°17'10.64"N,117°41'37.46"E,18°01'40.04"N,119°28'23.20"E,16°38'56.90"N,117°19'47.46"E,16°23'34.30"N,119°05'37.43"E,17.34021,118.39766,18.28629,117.69374,18.02779,119.47311,16.64914,117.32985,16.39286,119.09373,LE07_L1GT_118048_20021229_20170127_01_T2,LE71180482002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180482002363BKT00
123,LE07_L1GT_118049_20021229_20170127_01_T2,LE71180492002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 049,2017/01/27,2002:363:02:17:30.5426874,2002:363:02:17:57.6401875,BKT - Bangkok  Thailand,Day,0,98,-1,-1,,,,9,N,LPGS_12.8.3,FULL,42.26477639,144.41975976,NA,,ETM_L1GT,ETM,DEFINITIVE,13981,15561,6991,7781,6991,7781,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,15°53'47.83"N,118°04'18.48"E,16°50'27.46"N,117°22'19.06"E,16°35'03.95"N,119°08'15.22"E,15°12'13.25"N,117°00'44.21"E,14°56'57.34"N,118°45'50.04"E,15.89662,118.0718,16.84096,117.37196,16.58443,119.13756,15.20368,117.01228,14.94926,118.7639,LE07_L1GT_118049_20021229_20170127_01_T2,LE71180492002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180492002363BKT00
124,LE07_L1GT_118050_20021229_20170127_01_T2,LE71180502002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 050,2017/01/27,2002:363:02:17:54.4607499,2002:363:02:18:21.5582500,BKT - Bangkok  Thailand,Day,0,61,-1,-1,,,,9,N,LPGS_12.8.3,FULL,43.30369645,143.408901,NA,,ETM_L1GT,ETM,DEFINITIVE,14001,15581,7001,7791,7001,7791,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,14°27'10.87"N,117°44'56.18"E,15°23'43.66"N,117°03'14.80"E,15°08'26.95"N,118°48'26.24"E,13°45'28.26"N,116°41'48.08"E,13°30'17.86"N,118°26'14.35"E,14.45302,117.74894,15.39546,117.05411,15.14082,118.80729,13.75785,116.69669,13.50496,118.43732,LE07_L1GT_118050_20021229_20170127_01_T2,LE71180502002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180502002363BKT00
125,LE07_L1GT_118051_20021229_20170128_01_T2,LE71180512002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 051,2017/01/28,2002:363:02:18:18.3065624,2002:363:02:18:45.4039999,BKT - Bangkok  Thailand,Day,0,83,-1,-1,,,,9,N,LPGS_12.8.3,FULL,44.32451723,142.35997318,NA,,ETM_L1GT,ETM,DEFINITIVE,14001,15601,7001,7801,7001,7801,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,13°00'29.95"N,117°25'45.52"E,13°57'15.12"N,116°44'21.16"E,13°42'04.03"N,118°28'52.61"E,12°18'57.38"N,116°23'02.04"E,12°03'52.27"N,118°06'53.46"E,13.00832,117.42931,13.9542,116.73921,13.70112,118.48128,12.31594,116.3839,12.06452,118.11485,LE07_L1GT_118051_20021229_20170128_01_T2,LE71180512002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180512002363BKT00
126,LE07_L1GT_118052_20021229_20170127_01_T2,LE71180522002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 052,2017/01/27,2002:363:02:18:42.2245625,2002:363:02:19:09.3220624,BKT - Bangkok  Thailand,Day,0,67,-1,-1,,,,9,N,LPGS_12.8.3,FULL,45.32953439,141.25876133,NA,,ETM_L1GT,ETM,DEFINITIVE,14001,15601,7001,7801,7001,7801,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,11°33'49.03"N,117°06'43.49"E,12°30'28.30"N,116°25'30.32"E,12°15'22.46"N,118°09'26.14"E,10°52'11.28"N,116°04'19.49"E,10°37'10.52"N,117°47'40.31"E,11.56362,117.11208,12.50786,116.42509,12.25624,118.15726,10.8698,116.07208,10.61959,117.79453,LE07_L1GT_118052_20021229_20170127_01_T2,LE71180522002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180522002363BKT00
127,LE07_L1GT_118053_20021229_20170127_01_T2,LE71180532002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 053,2017/01/27,2002:363:02:19:06.1426249,2002:363:02:19:33.2400624,BKT - Bangkok  Thailand,Day,0,67,-1,-1,,,,9,Y,LPGS_12.8.3,FULL,46.3145056,140.10734475,NA,,ETM_L1GT,ETM,DEFINITIVE,14001,15621,7001,7811,7001,7811,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,10°07'06.28"N,116°47'50.64"E,11°03'42.44"N,116°06'46.94"E,10°48'41.00"N,117°50'11.51"E,9°25'23.45"N,115°45'42.70"E,9°10'26.36"N,117°28'37.09"E,10.11841,116.7974,11.06179,116.11304,10.81139,117.83653,9.42318,115.76186,9.17399,117.47697,LE07_L1GT_118053_20021229_20170127_01_T2,LE71180532002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180532002363BKT00
128,LE07_L1GT_118054_20021229_20170127_01_T2,LE71180542002363BKT00,2002/12/29,LANDSAT_7,ON,T2,1,SAM, 118, 054,2017/01/27,2002:363:02:19:30.0606250,2002:363:02:19:57.1581249,BKT - Bangkok  Thailand,Day,100,100,-1,-1,,,,9,N,LPGS_12.8.3,FULL,47.27790725,138.90269279,NA,,ETM_L1GT,ETM,DEFINITIVE,14001,15601,7001,7801,7001,7801,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,8°40'23.05"N,116°29'02.83"E,9°36'54.58"N,115°48'09.65"E,9°21'57.02"N,117°31'07.36"E,7°58'36.48"N,115°27'10.73"E,7°43'42.85"N,117°09'43.09"E,8.67307,116.48412,9.61516,115.80268,9.36584,117.51871,7.9768,115.45298,7.72857,117.16197,LE07_L1GT_118054_20021229_20170127_01_T2,LE71180542002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180542002363BKT00
129,LE07_L1TP_118055_20021229_20170127_01_T1,LE71180552002363BKT00,2002/12/29,LANDSAT_7,ON,T1,1,SAM, 118, 055,2017/01/27,2002:363:02:19:53.9786875,2002:363:02:20:21.0761874,BKT - Bangkok  Thailand,Day,46,92,54,4,7.468,4.56,5.914,9,N,LPGS_12.8.3,FULL,48.21811001,137.64132603,NA,,ETM_L1TP,ETM,DEFINITIVE,14021,15621,7011,7811,7011,7811,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,7°13'38.24"N,116°10'21.72"E,8°10'07.61"N,115°29'37.21"E,7°55'13.62"N,117°12'12.28"E,6°31'47.64"N,115°08'41.28"E,6°16'56.28"N,116°50'55.68"E,7.22729,116.1727,8.16878,115.49367,7.92045,117.20341,6.5299,115.1448,6.2823,116.8488,LE07_L1TP_118055_20021229_20170127_01_T1,LE71180552002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71180552002363BKT00
130,LE07_L1TP_134026_20021229_20170127_01_T2,LE71340262002363SGS00,2002/12/29,LANDSAT_7,ON,T2,1,, 134, 026,2017/01/27,2002:363:03:47:14.0767499,2002:363:03:47:41.1740000,SGS - Svalbard  Norway,Day,1,1,63,4,14.306,12.294,7.316,9,N,LPGS_12.8.3,FULL,15.52342014,160.15890223,,,ETM_L1TP,ETM,DEFINITIVE,15081,16361,7541,8181,7541,8181,UTM,48,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,48°52'04.80"N,102°44'49.20"E,49°51'13.32"N,101°46'36.12"E,49°28'24.96"N,104°22'06.60"E,48°14'30.48"N,101°09'47.88"E,47°52'25.68"N,103°40'34.32"E,48.868,102.747,49.8537,101.7767,49.4736,104.3685,48.2418,101.1633,47.8738,103.6762,LE07_L1TP_134026_20021229_20170127_01_T2,LE71340262002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340262002363SGS00
131,LE07_L1TP_134027_20021229_20170127_01_T1,LE71340272002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 027,2017/01/27,2002:363:03:47:37.9945625,2002:363:03:48:05.0918124,SGS - Svalbard  Norway,Day,2,2,61,4,10.772,8.317,6.845,9,N,LPGS_12.8.3,FULL,16.74948565,159.58716145,,,ETM_L1TP,ETM,DEFINITIVE,15101,16401,7551,8201,7551,8201,UTM,48,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,47°27'03.60"N,102°10'58.80"E,48°25'50.88"N,101°14'00.24"E,48°03'41.40"N,103°45'18.72"E,46°49'00.12"N,100°38'40.56"E,46°27'30.24"N,103°05'34.44"E,47.451,102.183,48.4308,101.2334,48.0615,103.7552,46.8167,100.6446,46.4584,103.0929,LE07_L1TP_134027_20021229_20170127_01_T1,LE71340272002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340272002363SGS00
132,LE07_L1TP_134028_20021229_20170127_01_T1,LE71340282002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 028,2017/01/27,2002:363:03:48:01.8401250,2002:363:03:48:28.9373750,SGS - Svalbard  Norway,Day,0,0,74,4,10.017,7.283,6.878,9,N,LPGS_12.8.3,FULL,17.96857233,159.02224636,,,ETM_L1TP,ETM,DEFINITIVE,14361,15741,7181,7871,7181,7871,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,46°01'51.60"N,101°38'34.08"E,47°00'36.72"N,100°42'48.24"E,46°39'02.52"N,103°10'12.72"E,45°23'38.76"N,100°08'58.20"E,45°02'42.00"N,102°32'16.44"E,46.031,101.6428,47.0102,100.7134,46.6507,103.1702,45.3941,100.1495,45.045,102.5379,LE07_L1TP_134028_20021229_20170127_01_T1,LE71340282002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340282002363SGS00
133,LE07_L1TP_134029_20021229_20170127_01_T1,LE71340292002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 029,2017/01/27,2002:363:03:48:25.7579374,2002:363:03:48:52.8552500,SGS - Svalbard  Norway,Day,1,1,150,4,4.768,3.527,3.209,9,N,LPGS_12.8.3,FULL,19.18873304,158.45910678,,,ETM_L1TP,ETM,DEFINITIVE,14361,15741,7181,7871,7181,7871,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,44°36'36.00"N,101°07'30.72"E,45°35'00.60"N,100°12'50.76"E,45°13'59.52"N,102°36'36.72"E,43°57'56.16"N,99°40'13.44"E,43°37'29.64"N,102°00'09.36"E,44.61,101.1252,45.5835,100.2141,45.2332,102.6102,43.9656,99.6704,43.6249,102.0026,LE07_L1TP_134029_20021229_20170127_01_T1,LE71340292002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340292002363SGS00
134,LE07_L1TP_134030_20021229_20170127_01_T1,LE71340302002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 030,2017/01/27,2002:363:03:48:49.6035624,2002:363:03:49:16.7008125,SGS - Svalbard  Norway,Day,1,1,153,4,4.369,2.93,3.241,9,N,LPGS_12.8.3,FULL,20.40147099,157.89774191,,,ETM_L1TP,ETM,DEFINITIVE,14381,15761,7191,7881,7191,7881,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,43°11'09.60"N,100°37'35.76"E,44°09'34.92"N,99°44'01.68"E,43°49'04.44"N,102°04'24.24"E,42°32'22.92"N,99°12'37.08"E,42°12'24.84"N,101°29'25.08"E,43.186,100.6266,44.1597,99.7338,43.8179,102.0734,42.5397,99.2103,42.2069,101.4903,LE07_L1TP_134030_20021229_20170127_01_T1,LE71340302002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340302002363SGS00
135,LE07_L1TP_134031_20021229_20170127_01_T2,LE71340312002363SGS00,2002/12/29,LANDSAT_7,ON,T2,1,, 134, 031,2017/01/27,2002:363:03:49:13.5213750,2002:363:03:49:40.6186875,SGS - Svalbard  Norway,Day,0,0,70,4,12.26,9.604,7.621,9,N,LPGS_12.8.3,FULL,21.61438204,157.33278778,,,ETM_L1TP,ETM,DEFINITIVE,14401,15801,7201,7901,7201,7901,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,41°45'39.60"N,100°08'51.00"E,42°43'46.56"N,99°16'13.44"E,42°23'44.52"N,101°33'25.56"E,41°06'30.60"N,98°45'50.04"E,40°46'58.80"N,100°59'42.36"E,41.761,100.1475,42.7296,99.2704,42.3957,101.5571,41.1085,98.7639,40.783,100.9951,LE07_L1TP_134031_20021229_20170127_01_T2,LE71340312002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340312002363SGS00
136,LE07_L1TP_134032_20021229_20170127_01_T1,LE71340322002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 032,2017/01/27,2002:363:03:49:37.3669999,2002:363:03:50:04.4642499,SGS - Svalbard  Norway,Day,1,1,53,4,6.98,3.329,6.135,9,N,LPGS_12.8.3,FULL,22.81814437,156.76047494,,,ETM_L1TP,ETM,DEFINITIVE,14401,15841,7201,7921,7201,7921,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,40°20'02.40"N,99°40'59.16"E,41°18'11.16"N,98°49'24.24"E,40°58'35.40"N,101°03'39.60"E,39°40'46.56"N,98°19'54.84"E,39°21'39.24"N,100°31'03.00"E,40.334,99.6831,41.3031,98.8234,40.9765,101.061,39.6796,98.3319,39.3609,100.5175,LE07_L1TP_134032_20021229_20170127_01_T1,LE71340322002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340322002363SGS00
137,LE07_L1TP_134033_20021229_20170127_01_T1,LE71340332002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 033,2017/01/27,2002:363:03:50:01.2848750,2002:363:03:50:28.3821874,SGS - Svalbard  Norway,Day,1,1,88,4,7.861,4.756,6.259,9,N,LPGS_12.8.3,FULL,24.02222612,156.18360453,,,ETM_L1TP,ETM,DEFINITIVE,14401,15821,7201,7911,7201,7911,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,38°54'18.00"N,99°14'05.28"E,39°52'11.64"N,98°23'17.88"E,39°33'01.08"N,100°34'47.28"E,38°14'45.60"N,97°54'46.44"E,37°56'00.96"N,100°03'21.24"E,38.905,99.2348,39.8699,98.3883,39.5503,100.5798,38.246,97.9129,37.9336,100.0559,LE07_L1TP_134033_20021229_20170127_01_T1,LE71340332002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340332002363SGS00
138,LE07_L1TP_134034_20021229_20170127_01_T1,LE71340342002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 034,2017/01/27,2002:363:03:50:25.1305000,2002:363:03:50:52.2278125,SGS - Svalbard  Norway,Day,2,2,67,4,6.222,4.38,4.419,9,N,LPGS_12.8.3,FULL,25.21813572,155.6002687,,,ETM_L1TP,ETM,DEFINITIVE,14401,15861,7201,7931,7201,7931,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,37°28'33.60"N,98°47'59.64"E,38°26'26.16"N,97°58'08.76"E,38°07'38.64"N,100°07'03.72"E,36°48'53.64"N,97°30'19.80"E,36°30'30.24"N,99°36'31.32"E,37.476,98.7999,38.4406,97.9691,38.1274,100.1177,36.8149,97.5055,36.5084,99.6087,LE07_L1TP_134034_20021229_20170127_01_T1,LE71340342002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340342002363SGS00
139,LE07_L1TP_134035_20021229_20170127_01_T1,LE71340352002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 035,2017/01/27,2002:363:03:50:49.0483750,2002:363:03:51:16.1455625,SGS - Svalbard  Norway,Day,5,5,56,4,6.957,4.005,5.689,9,N,LPGS_12.8.3,FULL,26.41189136,155.00359143,,,ETM_L1TP,ETM,DEFINITIVE,14421,15881,7211,7941,7211,7941,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,36°02'38.40"N,98°22'38.64"E,37°00'19.80"N,97°33'31.68"E,36°41'53.52"N,99°40'01.92"E,35°22'44.04"N,97°06'31.32"E,35°04'40.44"N,99°10'29.28"E,36.044,98.3774,37.0055,97.5588,36.6982,99.6672,35.3789,97.1087,35.0779,99.1748,LE07_L1TP_134035_20021229_20170127_01_T1,LE71340352002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340352002363SGS00
140,LE07_L1TP_134039_20021229_20170127_01_T1,LE71340392002363SGS00,2002/12/29,LANDSAT_7,ON,T1,1,, 134, 039,2017/01/27,2002:363:03:52:24.6473749,2002:363:03:52:51.7446874,SGS - Svalbard  Norway,Day,38,38,101,4,7.492,4.064,6.294,9,N,LPGS_12.8.3,FULL,31.12163951,152.46975184,,,ETM_L1TP,ETM,DEFINITIVE,14441,15921,7221,7961,7221,7961,UTM,47,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,30°18'25.20"N,96°47'31.56"E,31°15'34.56"N,96°01'11.28"E,30°58'21.36"N,97°59'32.64"E,29°37'42.24"N,95°36'27.36"E,29°20'45.60"N,97°32'52.80"E,30.307,96.7921,31.2596,96.0198,30.9726,97.9924,29.6284,95.6076,29.346,97.548,LE07_L1TP_134039_20021229_20170127_01_T1,LE71340392002363SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340392002363SGS00
141,LE07_L1TP_134044_20021229_20170127_01_T1,LE71340442002363BKT00,2002/12/29,LANDSAT_7,ON,T1,1,SAM, 134, 044,2017/01/27,2002:363:03:54:24.0920624,2002:363:03:54:51.1892499,BKT - Bangkok  Thailand,Day,8,8,151,4,3.899,2.674,2.837,9,N,LPGS_12.8.3,FULL,36.84116576,148.84204914,NA,,ETM_L1TP,ETM,DEFINITIVE,13981,15541,6991,7771,6991,7771,UTM,46,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,23°06'29.02"N,95°01'09.62"E,24°03'20.88"N,94°17'24.29"E,23°47'13.70"N,96°08'20.51"E,22°25'15.74"N,93°54'41.29"E,22°09'20.16"N,95°44'18.06"E,23.10806,95.01934,24.0558,94.29008,23.78714,96.13903,22.42104,93.91147,22.1556,95.73835,LE07_L1TP_134044_20021229_20170127_01_T1,LE71340442002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340442002363BKT00
142,LE07_L1TP_134045_20021229_20170127_01_T1,LE71340452002363BKT00,2002/12/29,LANDSAT_7,ON,T1,1,SAM, 134, 045,2017/01/27,2002:363:03:54:48.0098124,2002:363:03:55:15.1070625,BKT - Bangkok  Thailand,Day,2,2,204,4,3.656,2.291,2.849,9,N,LPGS_12.8.3,FULL,37.95287179,148.02670009,NA,,ETM_L1TP,ETM,DEFINITIVE,13981,15541,6991,7771,6991,7771,UTM,46,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,21°40'02.86"N,94°40'41.52"E,22°36'45.43"N,93°57'19.40"E,22°20'48.59"N,95°47'05.10"E,20°58'38.50"N,93°34'49.73"E,20°42'52.02"N,95°23'22.24"E,21.66746,94.6782,22.61262,93.95539,22.34683,95.78475,20.97736,93.58048,20.71445,95.38951,LE07_L1TP_134045_20021229_20170127_01_T1,LE71340452002363BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71340452002363BKT00
